Attribute,Mean,Variance,Standard Deviation,Median,Range,Midrange
alcohol,13.00061797752809,0.6590623278105763,0.8118265380058577,13.05,3.8000000000000007,12.93
malic_acid,2.3363483146067416,1.2480154034152227,1.1171460976144627,1.8650000000000002,5.06,3.27
ash,2.3665168539325845,0.07526463530756043,0.2743440090608148,2.36,1.8699999999999999,2.295
alcalinity_of_ash,19.49494382022472,11.152686155018094,3.3395637671735052,19.5,19.4,20.3
magnesium,99.74157303370787,203.9893353646925,14.282483515295668,98.0,92.0,116.0
total_phenols,2.295112359550562,0.3916895353266042,0.6258510488339891,2.355,2.9,2.4299999999999997
flavanoids,2.0292696629213487,0.9977186726337837,0.9988586850169465,2.135,4.74,2.71
nonflavanoid_phenols,0.3618539325842696,0.015488633911001082,0.12445334029667939,0.34,0.53,0.395
proanthocyanins,1.5908988764044945,0.3275946676823461,0.5723588626747611,1.5550000000000002,3.17,1.995
color_intensity,5.058089882022472,5.374449383491404,2.318285871822413,4.6899999999999995,11.72,7.14
hue,0.9574494382022471,0.05224496070589728,0.22857156582982338,0.965,1.23,1.095
od280/od315_of_diluted_wines,2.6116853932584267,0.5040864089379803,0.7099904287650505,2.78,2.73,2.635
proline,746.8932584269663,99166.71735542428,314.9074742768489,673.5,1402.0,979.0
target,0.9382022471910112,0.6006792357011367,0.7750349899850565,1.0,2.0,1.0
